
BOW001,Bowman,Dylan,1132.2
CRA004,Crane,Ronan,615
COX005,Cox,Fritz,7520.4
CHA006,Chase,Mira,4726.8
ALB010,Albert,Jade,2427.6
BEA011,Beasley,Logan,2137.8
BRO013,Browning,Charles,6644.4
BER015,Bernard,Rooney,3923.4
CHA022,Chandler,Neville,1538.4
BRO024,Brown,Christine,8992.2
DEN025,Dennis,William,7317
CAM029,Cameron,Honorato,3843.6
BRA031,Bradshaw,Paul,5731.8
BOY033,Boyer,Angelica,8880.6
BRY035,Bryant,Amy,8969.4
BEN036,Benjamin,Hayley,7555.8
BEC037,Becker,Brianna,5586.6
DOD041,Dodson,Sybil,3205.2
COT051,Cotton,Maxwell,4279.8
BRI055,Bridges,Ezekiel,3538.2
ANT056,Anthony,Vance,1630.8
DAN064,Daniel,Matthew,6911.4
CAN067,Cannon,Meredith,4856.4
CAB068,Cabrera,Rhoda,6721.8
DUN081,Dunlap,Indigo,5202.6
DIC082,Dickson,Teagan,4002.6
CRA085,Craig,Herman,2893.8
