
HER002,Herman,Dahlia,4317.6
GEN007,Gentry,Piper,3244.2
FRY017,Fry,Idona,8453.4
GUE018,Guerra,Serena,2264.4
FOL019,Foley,Chastity,2152.8
ELL021,Elliott,Ginger,1665
HOR028,Horne,Germane,8966.4
HAR044,Harding,Isaac,3126.6
GAL049,Gallagher,Jackson,6557.4
GAR050,Garza,Dustin,5332.2
GOO058,Good,Oliver,679.2
EWI059,Ewing,Remedios,7291.2
FLO061,Floyd,Oliver,4900.2
GUZ075,Guzman,Kiayada,8801.4
ENG084,English,Yasir,3037.8
HOL087,Holloway,Michael,5400
GRI089,Grimes,Nina,4090.8
HER090,Hernandez,Craig,432.6
HAT097,Hatfield,Emmanuel,6916.2
