
MCC008,Mccormick,Pandora,312
NEL009,Nelson,Harding,8259
MOS014,Mosley,Denise,2646.6
OLS020,Olson,Hope,2541.6
MCK023,Mckenzie,Amanda,1249.8
PEC027,Peck,Geoffrey,6116.4
MCC038,Mcconnell,Michelle,7252.8
OWE045,Owens,Cally,7992
MCM046,Mcmillan,Kendall,2182.2
MCK053,Mckinney,Madaline,5741.4
MOR054,Morales,Karleigh,3313.8
PRU062,Pruitt,Adele,3288
MIR071,Miranda,Nehru,2804.4
MAR076,Marks,Zephania,6288
MCL078,Mclaughlin,Todd,8784.6
OWE088,Owen,Ella,3483.6
MCB093,Mcbride,Coby,3129
PRI096,Prince,Whilemina,1608.6
MAS098,Mason,Cullen,8422.2
PIT099,Pitts,Kevyn,436.2
NUN100,Nunez,Ashely,4195.2
